cell_id,Rhynchocyclus aequinoctialis,Rhynchocyclus aequinoctialis [aequinoctialis Group],Rhynchocyclus aequinoctialis cryptus
8466db1ffffffff,1.0,0.0,0.0
8466dc3ffffffff,58.0,0.0,0.0
8466dc7ffffffff,4.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,6.0,0.0,0.0
8466dd7ffffffff,1.0,0.0,0.0
8466dddffffffff,1.0,0.0,0.0
8466de3ffffffff,30.0,0.0,0.0
8466de7ffffffff,4.0,0.0,0.0
8466debffffffff,20.0,0.0,0.0
8466e0dffffffff,2.0,0.0,0.0
8466e41ffffffff,1.0,0.0,0.0
8466e45ffffffff,11.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466eadffffffff,15.0,0.0,0.0
8466ee5ffffffff,3.0,0.0,0.0
8467413ffffffff,2.0,0.0,0.0
8467417ffffffff,2.0,0.0,0.0
8467425ffffffff,12.0,0.0,0.0
846743bffffffff,1.0,0.0,0.0
84674c7ffffffff,3.0,0.0,0.0
84674cdffffffff,22.0,0.0,0.0
84674edffffffff,4.0,0.0,0.0
8467519ffffffff,2.0,0.0,0.0
8467537ffffffff,7.0,0.0,0.0
84675a5ffffffff,3.0,0.0,0.0
84675a7ffffffff,1.0,0.0,0.0
84675cbffffffff,11.0,0.0,0.0
848a451ffffffff,5.0,0.0,0.0
848a459ffffffff,4.0,0.0,0.0
848a45bffffffff,6.0,0.0,0.0
848a45dffffffff,5.0,0.0,0.0
848a68bffffffff,1.0,0.0,0.0
848a699ffffffff,18.0,0.0,0.0
848a6d3ffffffff,5.0,0.0,0.0
848a6d7ffffffff,5.0,0.0,0.0
848a6d9ffffffff,18.0,0.0,0.0
848a6dbffffffff,12.0,0.0,0.0
848b223ffffffff,4.0,0.0,0.0
848b401ffffffff,1.0,0.0,0.0
848b447ffffffff,1.0,0.0,0.0
848b44dffffffff,23.0,0.0,0.0
848b469ffffffff,11.0,0.0,0.0
848b481ffffffff,1.0,0.0,0.0
848b617ffffffff,12.0,0.0,0.0
848b63bffffffff,16.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6e7ffffffff,1.0,0.0,0.0
848b6edffffffff,2.0,0.0,0.0
848b713ffffffff,13.0,0.0,0.0
848b71bffffffff,6.0,0.0,0.0
848b757ffffffff,4.0,0.0,0.0
848e643ffffffff,2.0,0.0,0.0
848f401ffffffff,5.0,0.0,0.0
848f407ffffffff,10.0,0.0,0.0
848f44bffffffff,2.0,0.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f463ffffffff,38.0,0.0,0.0
848f465ffffffff,1.0,0.0,0.0
848f4a5ffffffff,10.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f4b5ffffffff,2.0,0.0,0.0
848f4c7ffffffff,1.0,0.0,0.0
848f5d3ffffffff,5.0,0.0,0.0
848f5d7ffffffff,3.0,0.0,0.0
848f61bffffffff,33.0,0.0,0.0
848f645ffffffff,1.0,0.0,0.0
848f729ffffffff,14.0,0.0,0.0
848f72bffffffff,2.0,0.0,0.0
848f733ffffffff,3.0,0.0,0.0
848f74bffffffff,5.0,0.0,0.0
848f74dffffffff,2.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
848f76bffffffff,2.0,0.0,0.0
