cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
843c5ddffffffff,7.0,0.0,0.0
843c5e3ffffffff,4.0,0.0,0.0
843cc11ffffffff,17.0,0.0,0.0
843cc31ffffffff,81.0,0.0,0.0
843cc97ffffffff,2.0,0.0,0.0
843cd8bffffffff,55.0,6.0,0.0
843cd9dffffffff,2.0,0.0,0.0
843cdd5ffffffff,12.0,0.0,0.0
843ce31ffffffff,71.0,0.0,0.0
843ce33ffffffff,6.0,0.0,0.0
843ce3bffffffff,28.0,0.0,0.0
843ce43ffffffff,6.0,0.0,0.0
843ce49ffffffff,7.0,0.0,0.0
843ce4bffffffff,50.0,4.0,0.0
843ce4dffffffff,11.0,0.0,0.0
843ce51ffffffff,45.0,0.0,0.0
843ce53ffffffff,37.0,1.0,0.0
843ce59ffffffff,274.0,18.0,0.0
843ce5bffffffff,138.0,6.0,0.0
843ce5dffffffff,45.0,9.0,0.0
843ce83ffffffff,10.0,0.0,0.0
843ce85ffffffff,84.0,0.0,0.0
843ce87ffffffff,4.0,0.0,0.0
843ce95ffffffff,74.0,0.0,0.0
843cea1ffffffff,5.0,0.0,0.0
843cebdffffffff,50.0,0.0,0.0
843d103ffffffff,8.0,0.0,0.0
843d107ffffffff,13.0,0.0,0.0
843d115ffffffff,16.0,0.0,0.0
843d131ffffffff,11.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0
843d137ffffffff,19.0,0.0,0.0
843d139ffffffff,76.0,0.0,0.0
843d13bffffffff,15.0,0.0,0.0
843d1a9ffffffff,80.0,0.0,0.0
843d1adffffffff,2.0,0.0,0.0
843d1e1ffffffff,2.0,0.0,0.0
843d1e5ffffffff,9.0,0.0,0.0
843d1e7ffffffff,376.0,0.0,0.0
843d1edffffffff,327.0,0.0,0.0
843dad1ffffffff,629.0,0.0,0.0
843dad9ffffffff,65.0,0.0,0.0
843dadbffffffff,6.0,0.0,0.0
843daddffffffff,44.0,0.0,0.0
8440417ffffffff,2.0,0.0,0.0
8440439ffffffff,2.0,0.0,0.0
8440443ffffffff,2.0,0.0,0.0
8440455ffffffff,2.0,0.0,0.0
84404c1ffffffff,2.0,0.0,0.0
84404c3ffffffff,10.0,0.0,0.0
84404c5ffffffff,113.0,1.0,0.0
84404c7ffffffff,15.0,0.0,0.0
84404cdffffffff,10.0,0.0,0.0
84404ddffffffff,4.0,0.0,0.0
84404e1ffffffff,17.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
84404e9ffffffff,3.0,0.0,0.0
8440591ffffffff,50.0,0.0,0.0
844059dffffffff,4.0,0.0,0.0
844066dffffffff,8.0,0.0,0.0
84406b7ffffffff,2.0,0.0,0.0
844149bffffffff,2.0,0.0,0.0
84414c3ffffffff,49.0,2.0,0.0
8441585ffffffff,4.0,2.0,0.0
8441593ffffffff,17.0,0.0,0.0
8441597ffffffff,1.0,0.0,0.0
8441599ffffffff,3.0,0.0,0.0
844159bffffffff,15.0,11.0,0.0
8441617ffffffff,1.0,0.0,0.0
8441651ffffffff,1.0,0.0,0.0
8441659ffffffff,2.0,0.0,0.0
846482bffffffff,983.0,0.0,486.0
8464985ffffffff,4.0,0.0,0.0
8464987ffffffff,4.0,0.0,0.0
8465b61ffffffff,4.0,0.0,0.0
846914dffffffff,1.0,0.0,0.0
8469341ffffffff,1.0,0.0,0.0
846934dffffffff,57.0,8.0,0.0
