cell_id,Myrmecocichla arnotti,Myrmecocichla arnotti harterti,Myrmecocichla arnotti arnotti,Myrmecocichla arnotti collaris
849631bffffffff,1.0,0.0,0.0,0.0
8496329ffffffff,1.0,0.0,0.0,0.0
8496355ffffffff,2.0,0.0,0.0,0.0
8496365ffffffff,1.0,0.0,0.0,0.0
8496703ffffffff,5.0,0.0,0.0,0.0
8496757ffffffff,2.0,0.0,0.0,0.0
8496807ffffffff,1.0,0.0,0.0,1.0
849685bffffffff,1.0,0.0,0.0,1.0
8496885ffffffff,2.0,0.0,0.0,0.0
84968c7ffffffff,1.0,0.0,0.0,0.0
8496a59ffffffff,15.0,0.0,0.0,0.0
8496a89ffffffff,1.0,0.0,0.0,0.0
8496a8dffffffff,1.0,0.0,0.0,0.0
8496a99ffffffff,1.0,0.0,0.0,0.0
8496b13ffffffff,4.0,0.0,0.0,4.0
8496b63ffffffff,51.0,0.0,0.0,12.0
8496e49ffffffff,5.0,0.0,0.0,0.0
8497015ffffffff,2.0,0.0,0.0,0.0
8497051ffffffff,2.0,0.0,0.0,0.0
8497053ffffffff,3.0,0.0,0.0,0.0
8497119ffffffff,8.0,0.0,0.0,0.0
849711dffffffff,2.0,0.0,0.0,0.0
84971d7ffffffff,1.0,0.0,0.0,0.0
849728dffffffff,9.0,0.0,1.0,0.0
8497291ffffffff,2.0,0.0,0.0,0.0
84972cbffffffff,5.0,0.0,0.0,0.0
84972cdffffffff,5.0,0.0,0.0,0.0
84972d5ffffffff,3.0,0.0,0.0,0.0
84972e3ffffffff,12.0,0.0,0.0,0.0
84972ebffffffff,20.0,0.0,9.0,0.0
8497417ffffffff,18.0,0.0,0.0,0.0
8497431ffffffff,20.0,0.0,0.0,0.0
8497437ffffffff,32.0,0.0,0.0,0.0
8497439ffffffff,9.0,0.0,5.0,0.0
849743bffffffff,36.0,0.0,1.0,0.0
84974abffffffff,3.0,0.0,0.0,0.0
84974b9ffffffff,6.0,0.0,0.0,0.0
84974bdffffffff,2.0,0.0,0.0,0.0
84974e1ffffffff,2.0,0.0,2.0,0.0
84974e9ffffffff,1.0,0.0,0.0,0.0
84974edffffffff,5.0,0.0,0.0,0.0
8497509ffffffff,13.0,0.0,0.0,0.0
849750bffffffff,2.0,0.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0,0.0
849751bffffffff,3.0,0.0,0.0,0.0
8497537ffffffff,1.0,0.0,0.0,0.0
8497555ffffffff,3.0,0.0,0.0,0.0
8497557ffffffff,3.0,0.0,0.0,0.0
8497583ffffffff,5.0,0.0,0.0,0.0
84975c7ffffffff,17.0,0.0,0.0,0.0
84975cbffffffff,7.0,0.0,0.0,0.0
84975d1ffffffff,1.0,0.0,0.0,0.0
84975ddffffffff,8.0,0.0,0.0,0.0
84975ebffffffff,2.0,0.0,0.0,0.0
8497827ffffffff,2.0,0.0,0.0,0.0
849788bffffffff,1.0,0.0,0.0,0.0
84978b3ffffffff,1.0,0.0,0.0,0.0
84978d5ffffffff,1.0,0.0,0.0,0.0
84978ebffffffff,2.0,0.0,0.0,0.0
8497913ffffffff,2.0,0.0,0.0,0.0
8497a85ffffffff,1.0,0.0,0.0,0.0
8497a8bffffffff,20.0,0.0,0.0,0.0
8497aabffffffff,19.0,0.0,0.0,0.0
84ac93dffffffff,1.0,0.0,0.0,0.0
84ac969ffffffff,3.0,0.0,0.0,0.0
