cell_id,Cisticola robustus,Cisticola robustus santae,Cisticola robustus robustus/schraderi,Cisticola robustus omo,Cisticola robustus nuchalis/awemba,Cisticola robustus angolensis
8496925ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8496933ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8496935ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
849693dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84969a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496a07ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8496a39ffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8496a8dffffffff,2.0,0.0,0.0,0.0,1.0,0.0
8496b63ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849799bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
