cell_id,Sittasomus griseicapillus,Sittasomus griseicapillus [griseus Group],Sittasomus griseicapillus aequatorialis,Sittasomus griseicapillus [griseicapillus Group],Sittasomus griseicapillus reiseri,Sittasomus griseicapillus sylviellus/olivaceus
84a8123ffffffff,4.0,0.0,0.0,0.0,0.0,4.0
84a8811ffffffff,14.0,0.0,0.0,0.0,0.0,14.0
84a88bbffffffff,12.0,0.0,0.0,0.0,0.0,12.0
84a88e9ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84a8a13ffffffff,9.0,0.0,0.0,0.0,0.0,9.0
84a8a91ffffffff,4.0,0.0,0.0,0.0,0.0,4.0
84a8acdffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84a8d5dffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84a90e5ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84a92cbffffffff,26.0,0.0,0.0,0.0,0.0,0.0
84a953bffffffff,6.0,0.0,0.0,0.0,0.0,2.0
84a95edffffffff,3.0,0.0,0.0,0.0,0.0,3.0
84a9611ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84a9613ffffffff,46.0,0.0,0.0,0.0,0.0,0.0
84a9617ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84a9619ffffffff,40.0,0.0,0.0,0.0,0.0,0.0
84a9653ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84b269bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84b26d1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84b26d7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84b26dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84b3253ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84b32dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84b3513ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84b3661ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84b366dffffffff,3.0,0.0,0.0,3.0,0.0,0.0
