cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
83414cfffffffff,4.0,0.0,0.0,0.0
83414dfffffffff,6.0,0.0,0.0,0.0
83414efffffffff,4.0,0.0,0.0,0.0
834152fffffffff,5.0,0.0,0.0,0.0
834153fffffffff,20.0,0.0,0.0,0.0
834158fffffffff,4.0,0.0,0.0,0.0
834159fffffffff,8.0,2.0,0.0,0.0
83415cfffffffff,12.0,0.0,0.0,0.0
83415dfffffffff,1.0,0.0,0.0,0.0
83415efffffffff,2.0,0.0,0.0,0.0
834160fffffffff,5.0,0.0,0.0,0.0
834161fffffffff,5.0,0.0,0.0,0.0
834164fffffffff,12.0,1.0,0.0,0.0
834165fffffffff,20.0,0.0,0.0,0.0
83416afffffffff,11.0,0.0,0.0,0.0
83416bfffffffff,22.0,0.0,0.0,0.0
83416dfffffffff,2.0,0.0,0.0,0.0
83416efffffffff,51.0,10.0,0.0,0.0
834269fffffffff,11.0,0.0,0.0,0.0
836412fffffffff,2.0,0.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0,0.0
836416fffffffff,570.0,85.0,0.0,0.0
836422fffffffff,12.0,0.0,0.0,0.0
836426fffffffff,12.0,0.0,3.0,0.0
836428fffffffff,40.0,0.0,0.0,0.0
836429fffffffff,7.0,0.0,0.0,0.0
83642dfffffffff,1.0,0.0,0.0,0.0
836430fffffffff,4.0,0.0,0.0,0.0
836431fffffffff,119.0,0.0,2.0,0.0
836432fffffffff,76.0,17.0,4.0,0.0
836433fffffffff,22.0,7.0,0.0,0.0
836434fffffffff,71.0,0.0,12.0,0.0
836435fffffffff,31.0,0.0,0.0,0.0
836482fffffffff,55.0,10.0,0.0,0.0
836486fffffffff,2.0,0.0,0.0,0.0
83648cfffffffff,2.0,0.0,0.0,0.0
83648dfffffffff,1.0,0.0,0.0,0.0
836490fffffffff,1.0,0.0,0.0,0.0
836491fffffffff,31.0,3.0,0.0,0.0
836492fffffffff,5.0,0.0,0.0,0.0
836494fffffffff,5.0,0.0,0.0,0.0
836495fffffffff,14.0,10.0,0.0,0.0
836496fffffffff,4.0,0.0,0.0,0.0
836498fffffffff,2.0,0.0,0.0,0.0
83649afffffffff,2.0,0.0,0.0,0.0
83649bfffffffff,2.0,0.0,0.0,0.0
83649dfffffffff,2.0,0.0,0.0,0.0
8364a0fffffffff,2.0,0.0,0.0,0.0
8364a1fffffffff,10.0,2.0,0.0,0.0
8364a3fffffffff,7.0,2.0,0.0,0.0
8364a4fffffffff,8.0,0.0,0.0,0.0
8364a5fffffffff,62.0,1.0,0.0,0.0
8364b2fffffffff,30.0,3.0,0.0,0.0
8364b3fffffffff,14.0,0.0,0.0,0.0
8364b4fffffffff,1.0,0.0,0.0,0.0
8364b5fffffffff,21.0,15.0,0.0,0.0
8364b6fffffffff,4.0,0.0,0.0,0.0
836500fffffffff,14.0,0.0,0.0,0.0
836501fffffffff,1.0,0.0,0.0,0.0
836502fffffffff,2.0,0.0,0.0,0.0
836503fffffffff,13.0,0.0,0.0,0.0
836505fffffffff,21.0,0.0,0.0,0.0
836518fffffffff,52.0,0.0,2.0,0.0
836519fffffffff,5.0,0.0,0.0,0.0
83651bfffffffff,50.0,0.0,0.0,0.0
83651cfffffffff,56.0,2.0,10.0,0.0
83651dfffffffff,38.0,0.0,0.0,0.0
836520fffffffff,729.0,0.0,0.0,0.0
836522fffffffff,21.0,0.0,0.0,0.0
836525fffffffff,11.0,0.0,0.0,0.0
836526fffffffff,891.0,0.0,0.0,0.0
836529fffffffff,1.0,0.0,0.0,0.0
83652efffffffff,2.0,0.0,0.0,0.0
836550fffffffff,1.0,0.0,0.0,0.0
836553fffffffff,2.0,0.0,0.0,0.0
836554fffffffff,6.0,0.0,0.0,0.0
836556fffffffff,4.0,0.0,0.0,0.0
836573fffffffff,24.0,0.0,0.0,0.0
836581fffffffff,18.0,0.0,0.0,0.0
836585fffffffff,14.0,0.0,0.0,0.0
836589fffffffff,7.0,0.0,0.0,0.0
83658afffffffff,12.0,2.0,0.0,0.0
83658bfffffffff,6.0,0.0,0.0,0.0
83658efffffffff,25.0,12.0,0.0,0.0
836590fffffffff,1.0,0.0,0.0,0.0
836591fffffffff,2.0,0.0,0.0,0.0
836592fffffffff,2.0,0.0,0.0,0.0
836595fffffffff,6.0,0.0,0.0,0.0
836596fffffffff,6.0,0.0,0.0,0.0
836599fffffffff,179.0,31.0,0.0,0.0
83659cfffffffff,8.0,0.0,0.0,0.0
83659dfffffffff,2.0,0.0,0.0,0.0
8365aafffffffff,1.0,0.0,0.0,0.0
8365b0fffffffff,117.0,7.0,0.0,0.0
8365b2fffffffff,139.0,0.0,0.0,0.0
8365b3fffffffff,77.0,0.0,0.0,0.0
8365b6fffffffff,9.0,0.0,0.0,0.0
836802fffffffff,15.0,0.0,2.0,0.0
836810fffffffff,19.0,0.0,6.0,0.0
836811fffffffff,149.0,0.0,18.0,0.0
836812fffffffff,28.0,0.0,2.0,0.0
836813fffffffff,1.0,0.0,0.0,0.0
836815fffffffff,49.0,0.0,6.0,0.0
836816fffffffff,6.0,0.0,0.0,0.0
836818fffffffff,490.0,0.0,94.0,0.0
83681afffffffff,16.0,0.0,0.0,0.0
83681bfffffffff,2.0,0.0,0.0,0.0
83681cfffffffff,626.0,0.0,97.0,0.0
83681dfffffffff,7.0,0.0,0.0,0.0
83681efffffffff,8.0,0.0,0.0,0.0
83688afffffffff,1.0,0.0,0.0,0.0
836896fffffffff,7.0,0.0,0.0,0.0
83689afffffffff,2.0,0.0,0.0,0.0
8368a5fffffffff,8.0,0.0,1.0,0.0
8368a6fffffffff,2.0,0.0,0.0,0.0
8368acfffffffff,14.0,0.0,1.0,0.0
8368c2fffffffff,2.0,0.0,0.0,0.0
8368c8fffffffff,38.0,0.0,0.0,18.0
8368cefffffffff,17.0,0.0,0.0,11.0
8368d2fffffffff,52.0,0.0,0.0,24.0
8368d3fffffffff,2.0,0.0,0.0,2.0
8368d8fffffffff,1.0,0.0,0.0,0.0
8368ddfffffffff,27.0,0.0,0.0,12.0
8368f6fffffffff,4.0,0.0,0.0,0.0
836914fffffffff,1.0,0.0,0.0,0.0
836934fffffffff,49.0,1.0,0.0,0.0
83699afffffffff,9.0,0.0,0.0,0.0
838c10fffffffff,5.0,0.0,0.0,0.0
838c11fffffffff,1.0,0.0,0.0,0.0
838c1afffffffff,11.0,0.0,0.0,0.0
838c96fffffffff,27.0,0.0,4.0,0.0
838cadfffffffff,5.0,0.0,0.0,0.0
838cc2fffffffff,6.0,0.0,0.0,0.0
838cd5fffffffff,4.0,0.0,0.0,0.0
838cdcfffffffff,7.0,0.0,0.0,0.0
839500fffffffff,24.0,0.0,0.0,16.0
839521fffffffff,6.0,0.0,0.0,6.0
83952dfffffffff,3.0,0.0,0.0,2.0
