cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
848b511ffffffff,14.0,0.0,0.0,0.0
848b513ffffffff,10.0,0.0,0.0,0.0
848b527ffffffff,3.0,0.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0,0.0
848b53dffffffff,3.0,0.0,0.0,0.0
848b563ffffffff,1.0,0.0,0.0,0.0
848b5c3ffffffff,7.0,0.0,0.0,0.0
848b5cdffffffff,56.0,0.0,0.0,0.0
848b5d1ffffffff,2.0,0.0,0.0,0.0
848b5e9ffffffff,2.0,0.0,0.0,0.0
848b617ffffffff,56.0,0.0,0.0,0.0
848b623ffffffff,9.0,2.0,0.0,0.0
848b627ffffffff,40.0,0.0,0.0,0.0
848b631ffffffff,14.0,0.0,0.0,0.0
848b633ffffffff,8.0,0.0,0.0,0.0
848b635ffffffff,1.0,0.0,0.0,0.0
848b637ffffffff,289.0,0.0,0.0,0.0
848b63bffffffff,265.0,7.0,0.0,0.0
848b683ffffffff,4.0,0.0,0.0,0.0
848b693ffffffff,6.0,0.0,0.0,0.0
848b695ffffffff,2.0,0.0,0.0,0.0
848b697ffffffff,2.0,0.0,0.0,0.0
848b699ffffffff,2.0,0.0,0.0,0.0
848b6cbffffffff,4.0,0.0,0.0,0.0
848b6e5ffffffff,19.0,0.0,0.0,0.0
848b6e7ffffffff,57.0,0.0,0.0,0.0
848b6edffffffff,65.0,3.0,0.0,0.0
848b709ffffffff,1.0,0.0,0.0,0.0
848b713ffffffff,301.0,1.0,0.0,0.0
848b717ffffffff,7.0,0.0,0.0,0.0
848b71bffffffff,31.0,0.0,0.0,0.0
848b747ffffffff,4.0,0.0,0.0,0.0
848b757ffffffff,6.0,0.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0,0.0
848b98bffffffff,2.0,0.0,0.0,0.0
848b999ffffffff,27.0,0.0,0.0,0.0
848b99dffffffff,2.0,0.0,0.0,0.0
848b9d1ffffffff,35.0,0.0,0.0,0.0
848b9d5ffffffff,95.0,0.0,0.0,0.0
848e659ffffffff,2.0,0.0,0.0,0.0
848f401ffffffff,73.0,0.0,0.0,0.0
848f409ffffffff,1.0,0.0,0.0,0.0
848f423ffffffff,4.0,0.0,0.0,0.0
848f437ffffffff,1.0,0.0,0.0,0.0
848f447ffffffff,2.0,0.0,0.0,0.0
848f44bffffffff,14.0,0.0,0.0,0.0
848f455ffffffff,9.0,0.0,0.0,0.0
848f461ffffffff,39.0,0.0,0.0,0.0
848f463ffffffff,4.0,0.0,0.0,0.0
848f485ffffffff,11.0,0.0,0.0,0.0
848f489ffffffff,9.0,0.0,0.0,0.0
848f48dffffffff,18.0,0.0,0.0,0.0
848f4a1ffffffff,2.0,0.0,0.0,0.0
848f4abffffffff,2.0,0.0,0.0,0.0
848f4adffffffff,5.0,0.0,0.0,0.0
848f4b3ffffffff,6.0,0.0,0.0,0.0
848f4b5ffffffff,2.0,0.0,0.0,0.0
848f4c5ffffffff,2.0,0.0,0.0,0.0
848f4c7ffffffff,20.0,0.0,0.0,0.0
848f4e7ffffffff,2.0,0.0,0.0,0.0
848f5d3ffffffff,12.0,0.0,0.0,0.0
848f611ffffffff,2.0,0.0,0.0,0.0
848f613ffffffff,34.0,0.0,0.0,0.0
848f617ffffffff,2.0,0.0,0.0,0.0
848f61bffffffff,60.0,0.0,0.0,0.0
848f625ffffffff,4.0,0.0,0.0,0.0
848f657ffffffff,2.0,0.0,0.0,0.0
848f6b5ffffffff,24.0,0.0,0.0,0.0
848f6cdffffffff,2.0,0.0,0.0,0.0
848f6e9ffffffff,21.0,0.0,0.0,0.0
848f6edffffffff,3.0,0.0,0.0,0.0
848f71bffffffff,6.0,0.0,0.0,0.0
848f741ffffffff,1.0,0.0,0.0,0.0
848f74bffffffff,6.0,0.0,0.0,0.0
84a8591ffffffff,1.0,0.0,0.0,0.0
84b3259ffffffff,2.0,0.0,0.0,0.0
