cell_id,Hylophilus thoracicus,Hylophilus thoracicus griseiventris/aemulus,Hylophilus thoracicus thoracicus
848af29ffffffff,4.0,1.0,0.0
848af2dffffffff,2.0,0.0,0.0
848af61ffffffff,17.0,1.0,0.0
848af63ffffffff,23.0,6.0,0.0
848af67ffffffff,44.0,0.0,0.0
848af69ffffffff,2.0,0.0,0.0
848af6bffffffff,3.0,0.0,0.0
848b2d7ffffffff,1.0,0.0,0.0
848b401ffffffff,5.0,0.0,0.0
848b40bffffffff,6.0,0.0,0.0
848b40dffffffff,3.0,0.0,0.0
848b44bffffffff,3.0,0.0,0.0
848b44dffffffff,2.0,0.0,0.0
848b459ffffffff,7.0,0.0,0.0
848b469ffffffff,8.0,0.0,0.0
848b4e5ffffffff,15.0,0.0,0.0
848b513ffffffff,2.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0
848b563ffffffff,5.0,0.0,0.0
848b56bffffffff,2.0,0.0,0.0
848b5c3ffffffff,1.0,0.0,0.0
848b5cdffffffff,10.0,0.0,0.0
848b617ffffffff,10.0,0.0,0.0
848b637ffffffff,33.0,0.0,0.0
848b63bffffffff,2.0,0.0,0.0
848b683ffffffff,2.0,0.0,0.0
848b691ffffffff,4.0,0.0,0.0
848b69bffffffff,4.0,0.0,0.0
848b6c3ffffffff,2.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0
848b6e5ffffffff,1.0,0.0,0.0
848b6e7ffffffff,6.0,0.0,0.0
848b6edffffffff,12.0,0.0,0.0
848b709ffffffff,2.0,0.0,0.0
848b713ffffffff,5.0,0.0,0.0
848b717ffffffff,13.0,0.0,0.0
848b71bffffffff,7.0,0.0,0.0
848e649ffffffff,1.0,0.0,0.0
848e64bffffffff,2.0,0.0,0.0
848f401ffffffff,9.0,0.0,0.0
848f461ffffffff,1.0,0.0,0.0
848f463ffffffff,12.0,0.0,0.0
848f46bffffffff,1.0,0.0,0.0
848f619ffffffff,8.0,0.0,0.0
848f61bffffffff,9.0,0.0,0.0
848f655ffffffff,2.0,0.0,0.0
848f657ffffffff,2.0,0.0,0.0
848f6b5ffffffff,2.0,0.0,0.0
848f71bffffffff,5.0,0.0,0.0
848f733ffffffff,1.0,0.0,0.0
84a8805ffffffff,2.0,0.0,0.0
84a880dffffffff,2.0,0.0,0.0
84a8829ffffffff,1.0,0.0,0.0
84a882dffffffff,3.0,0.0,0.0
84a8847ffffffff,2.0,0.0,0.0
84a8849ffffffff,1.0,0.0,0.0
84a884dffffffff,1.0,0.0,0.0
84a8863ffffffff,18.0,0.0,0.0
84a8865ffffffff,2.0,0.0,0.0
84a8867ffffffff,8.0,0.0,0.0
84a886dffffffff,2.0,0.0,0.0
84a8919ffffffff,3.0,0.0,0.0
84a891dffffffff,12.0,0.0,1.0
84a8951ffffffff,16.0,0.0,0.0
84a8953ffffffff,32.0,0.0,0.0
84a8957ffffffff,2.0,0.0,0.0
84a895bffffffff,2.0,0.0,0.0
84a8a03ffffffff,72.0,0.0,0.0
84a8a07ffffffff,284.0,0.0,7.0
84a8a11ffffffff,2.0,0.0,0.0
84a8a13ffffffff,5.0,0.0,2.0
84a8a15ffffffff,67.0,0.0,0.0
84a8a19ffffffff,253.0,0.0,27.0
84a8a1dffffffff,33.0,0.0,1.0
84a8a21ffffffff,87.0,0.0,1.0
84a8a23ffffffff,91.0,0.0,6.0
84a8a25ffffffff,16.0,0.0,0.0
84a8a27ffffffff,8.0,0.0,0.0
84a8a2bffffffff,311.0,0.0,0.0
84a8a2dffffffff,2.0,0.0,0.0
84a8a31ffffffff,1.0,0.0,0.0
84a8a35ffffffff,5.0,0.0,0.0
84a8a39ffffffff,13.0,0.0,0.0
84a8a3bffffffff,2.0,0.0,0.0
84a8a3dffffffff,44.0,0.0,0.0
84a8b11ffffffff,3.0,0.0,2.0
84a8b13ffffffff,2.0,0.0,0.0
84a8b17ffffffff,23.0,0.0,0.0
84a8b1bffffffff,2.0,0.0,0.0
