cell_id,Treron curvirostra,Treron curvirostra [curvirostra Group],Treron curvirostra hypothapsinus/smicrus
836934fffffffff,6.0,0.0,0.0
836958fffffffff,1.0,0.0,0.0
83699afffffffff,10.0,0.0,0.0
838c10fffffffff,2.0,0.0,0.0
838c96fffffffff,37.0,0.0,0.0
838cadfffffffff,9.0,1.0,0.0
838cc2fffffffff,15.0,0.0,13.0
838cd8fffffffff,10.0,0.0,10.0
838cdcfffffffff,1.0,0.0,0.0
838cf5fffffffff,3.0,0.0,3.0
838d9afffffffff,9.0,0.0,0.0
